time,balance
0,1
25.688,1.39401
35.4777,1.74061
39.2851,2.20149
42.5461,1.62467
45.418,1.57314
47.9867,1.65465
50.7674,1.45776
52.8102,1.70329
55.13,1.60152
57.1619,1.48184
58.9146,1.53814
61.0979,1.49795
63.1591,1.62713
65.2097,1.45255
66.6883,1.45249
68.1075,1.60854
69.7898,1.41368
71.2341,1.69445
72.2681,1.45373
73.1393,1.68914
74.1753,1.37149
75.4381,1.55478
76.3902,1.53322
77.3462,1.47908
78.2286,1.30724
79.6068,1.36538
81.1514,1.33831
82.13,1.29971
83.4737,1.37147
84.6659,1.76434
85.79,1.55106
86.5313,1.45449
88.0942,1.54594
88.9873,1.3985
90.0615,1.45306
90.873,1.38653
91.6202,1.32719
92.3093,1.58815
93.2942,1.54177
94.2095,1.52833
95.4276,1.7173
96.2877,1.35231
97.2796,1.49256
98.1515,1.51258
98.2285,1.54294
98.293,1.568
98.3548,1.48197
98.41,1.46886
98.4614,1.38271
98.5097,1.56865
98.5531,1.34142
98.5965,1.73137
98.6371,1.45686
98.6753,2.61089
98.7164,1.89073
98.7518,1.94398
98.7818,1.56799
98.8107,1.59773
98.8364,1.54737
98.8597,1.51355
98.8814,1.75506
98.9023,1.82474
98.9337,1.96096
98.9522,1.48091
98.9696,1.52878
98.9907,1.91194
99.0051,1.81641
99.0192,1.70086
99.0399,1.70926
99.0535,1.82373
99.069,1.67619
99.0803,1.72079
99.0933,1.89285
99.105,1.56763
99.1151,1.63749
99.1249,2.22676
99.1349,1.78044
99.1439,1.8495
99.1546,1.97806
99.1731,2.05422
99.182,1.82759
99.1893,2.34003
99.1977,2.51277
99.2073,1.94523
99.2176,1.89866
99.224,1.94772
99.2298,1.74118
99.2358,2.13833
99.2421,2.22064
99.2495,2.44227
99.2556,2.53593
99.2614,2.2282
99.2681,1.67434
99.2733,2.30065
99.2776,2.5364
99.282,3.45221
99.2866,2.63726
99.2917,2.68923
99.2961,2.89286
99.3002,3.35041
99.3044,2.69263
99.3096,3.0872
99.3138,2.53307
99.3179,3.2428
99.3229,3.22305
99.3266,3.11432
99.3302,3.055
99.334,3.2867
99.3375,4.00497
99.3414,3.14672
99.3445,2.68743
99.3475,3.77369
99.3506,2.41663
99.3545,6.27818
99.358,4.8344
99.3624,4.64665
99.3695,4.82438
99.3724,6.00944
99.3753,5.19911
99.3783,5.84502
99.3817,5.74689
99.3846,7.79565
99.3875,3.84192
99.3905,8.25453
99.3934,4.13714
99.3964,6.11355
99.3991,4.73638
99.402,10.3208
99.4052,6.9489
99.4141,5.57143
99.4168,7.71234
99.4192,7.11111
99.4219,7.39515
99.4247,11.6605
99.4273,7.88254
99.4299,7.59618
99.4324,6.38109
99.435,7.71014
99.4374,7.31741
99.44,8.62799
99.4424,10.5244
99.4449,14.5882
99.4482,15.3123
99.4506,12.649
99.4531,14.9196
99.4559,18.3022
99.4585,16.1026
99.4751,20.0176
99.4779,22.72
99.4807,21.0841
99.4833,23.6444
99.4859,16.5603
99.4885,16.8157
99.4911,26.4348
99.4937,25.3333
99.4962,28.7785
99.4987,27.5159
99.5216,29.5556
99.5246,31.0519
99.5271,31.5259
99.5296,32
99.5321,32
99.5346,32
99.5372,32
99.54,32
99.5427,32
99.5453,32
99.5478,32
99.5503,32
99.5528,32
99.5552,32
99.5577,32
99.5601,32
99.5626,32
99.565,32
99.5674,32
99.5699,32
99.5723,32
99.5747,32
99.577,32
99.5794,32
99.5818,32
99.5842,32
99.5866,32
99.5891,32
99.5915,32
99.5939,32
99.5964,32
99.5989,32
99.6015,32
99.6043,32
99.6067,32
99.6092,32
99.6117,32
99.6143,32
99.6169,32
99.6197,32
99.6226,32
99.6252,32
99.6278,32
99.6304,32
99.6329,32
99.6355,32
99.6381,32
99.6409,32
99.6434,32
99.6459,32
99.6484,32
99.6511,32
99.6538,32
99.6565,32
99.6592,32
99.6619,32
99.6646,32
99.6672,32
99.6698,32
99.6723,32
99.6748,32
99.6773,32
99.6797,32
99.6822,32
99.6846,32
99.6872,32
99.6896,32
99.692,32
99.6943,32
99.6968,32
99.6993,32
99.7017,32
99.7041,32